state,week,leaning,video_type,proportion
NY,10,right,Negative,0.4782608695652174
NY,10,right,Neutral,0.391304347826087
NY,10,right,Positive,0.13043478260869565
NY,11,left,Positive,0.4117647058823529
NY,11,left,Negative,0.3235294117647059
NY,11,left,Neutral,0.2647058823529412
NY,11,right,Neutral,0.5714285714285714
NY,11,right,Negative,0.2857142857142857
NY,11,right,Positive,0.14285714285714285
NY,13,right,Negative,0.5555555555555556
NY,13,right,Neutral,0.4444444444444444
NY,14,left,Neutral,0.75
NY,14,left,Negative,0.25
NY,14,right,Negative,0.6666666666666666
NY,14,right,Neutral,0.2
NY,14,right,Positive,0.13333333333333333
NY,15,left,Positive,0.6666666666666666
NY,15,left,Negative,0.3333333333333333
NY,15,right,Negative,0.6
NY,15,right,Neutral,0.3
NY,15,right,Positive,0.1
NY,17,left,Positive,1.0
NY,17,right,Neutral,1.0
NY,18,right,Positive,1.0
NY,19,left,Negative,1.0
NY,20,left,Negative,1.0
NY,20,right,Positive,1.0
NY,22,left,Neutral,0.5
NY,22,left,Positive,0.5
NY,23,left,Negative,1.0
NY,24,right,Positive,1.0
NY,25,left,Negative,0.5
NY,25,left,Positive,0.5
TEXAS,1,left,Positive,0.5
TEXAS,1,left,Neutral,0.3333333333333333
TEXAS,1,left,Negative,0.16666666666666666
TEXAS,1,right,Negative,0.75
TEXAS,1,right,Positive,0.25
TEXAS,3,left,Negative,0.42857142857142855
TEXAS,3,left,Neutral,0.35714285714285715
TEXAS,3,left,Positive,0.21428571428571427
TEXAS,3,right,Negative,0.6666666666666666
TEXAS,3,right,Neutral,0.16666666666666666
TEXAS,3,right,Positive,0.16666666666666666
TEXAS,4,left,Neutral,1.0
TEXAS,4,right,Neutral,1.0
TEXAS,5,left,Neutral,0.5714285714285714
TEXAS,5,left,Positive,0.2857142857142857
TEXAS,5,left,Negative,0.14285714285714285
TEXAS,5,right,Negative,0.5
TEXAS,5,right,Neutral,0.3333333333333333
TEXAS,5,right,Positive,0.16666666666666666
TEXAS,9,right,Neutral,1.0
TEXAS,11,left,Neutral,0.4
TEXAS,11,left,Positive,0.4
TEXAS,11,left,Negative,0.2
TEXAS,11,right,Neutral,0.42857142857142855
TEXAS,11,right,Negative,0.2857142857142857
TEXAS,11,right,Positive,0.2857142857142857
TEXAS,12,left,Neutral,0.6818181818181818
TEXAS,12,left,Negative,0.2727272727272727
TEXAS,12,left,Positive,0.045454545454545456
TEXAS,12,right,Neutral,0.45454545454545453
TEXAS,12,right,Negative,0.36363636363636365
TEXAS,12,right,Positive,0.18181818181818182
TEXAS,21,right,Neutral,0.5
TEXAS,21,right,Positive,0.5
TEXAS,22,left,Neutral,1.0
TEXAS,25,left,Neutral,0.75
TEXAS,25,left,Negative,0.25
TEXAS,26,left,Neutral,0.47058823529411764
TEXAS,26,left,Negative,0.35294117647058826
TEXAS,26,left,Positive,0.17647058823529413
