video_id,embedding,collection,party,type,x,y,projection_Democrat_Republican
7.395603343256669e+18,"[ 0.03414028 -0.02699754 -0.03334142 ... -0.00945583 -0.03894756
  0.01462584]",persona,Republican,video,-0.14645408,-0.033993274,0.031566367
7.395305507864514e+18,"[ 0.02502719 -0.01134846 -0.01797675 ...  0.00364068 -0.03004905
  0.03628089]",persona,Republican,video,-0.10732641,-0.062305428,0.010221045
7.394601315210415e+18,"[ 0.05532696 -0.00704507 -0.02243847 ... -0.02057412 -0.0220818
  0.00722467]",persona,Republican,video,-0.16391906,-0.07893742,0.09332362
7.394964866785644e+18,"[ 0.0599627  -0.01850825 -0.02693411 ...  0.00054819 -0.04565559
 -0.00646827]",persona,Republican,video,-0.187261,-0.14868984,0.062711746
7.395336285294038e+18,"[ 0.05411507 -0.00241703 -0.0405225  ... -0.03606541 -0.07585732
 -0.00631561]",persona,Republican,video,-0.15173402,-0.034030735,0.014818007
7.395268081184083e+18,"[ 0.03058897 -0.04400641 -0.02301034 ...  0.00786303 -0.05033725
  0.01782206]",persona,Republican,video,-0.13104504,-0.019400889,0.07171642
7.395045959077514e+18,"[ 0.04352795 -0.01191565 -0.02084848 ...  0.00271159 -0.04452197
  0.00965303]",persona,Republican,video,-0.105090834,-0.068855576,0.009506445
7.394950288685174e+18,"[ 0.02671789 -0.03050723 -0.02454192 ... -0.00672973 -0.04027565
  0.0217241 ]",persona,Republican,video,-0.13840888,-0.08567284,0.046724617
7.394934066128195e+18,"[ 0.03995307 -0.02861884 -0.01393955 ... -0.02380899 -0.02580762
  0.02743804]",persona,Republican,video,-0.14188586,-0.11894448,0.06978594
7.394919497079066e+18,"[ 0.0254412  -0.00500464 -0.03190051 ... -0.02739787 -0.03580311
 -0.0072797 ]",persona,Republican,video,-0.17816748,-0.050928157,-0.007803194
7.394574623997857e+18,"[ 0.02764933 -0.02030456 -0.01304164 ... -0.01014445 -0.05515556
  0.00647608]",persona,Republican,video,-0.19789013,-0.06453035,0.02515496
7.395595065021812e+18,"[ 0.0584496  -0.01301156 -0.02366881 ... -0.00596439 -0.03969397
  0.02699712]",persona,Republican,video,-0.1799969,-0.13328412,0.056325115
7.394621243036585e+18,"[ 0.01313631 -0.02911368 -0.00181923 ... -0.00480372 -0.05526936
 -0.02472512]",persona,Republican,video,-0.14097878,-0.10224003,0.068900496
7.394253368744513e+18,"[ 0.03277976 -0.01117258 -0.03041702 ... -0.02485058 -0.06275066
 -0.00109116]",persona,Republican,video,-0.11105534,-0.13425812,0.13495798
7.393339080676855e+18,"[ 0.04975108 -0.00420856 -0.01625274 ...  0.00665958 -0.03404429
 -0.00528641]",persona,Republican,video,-0.04738102,-0.087164156,0.08588632
